ID,Site,Lat,Long,Group,EU,K1,K2,K3,K4,K5,K6,K7,K8,K9,K9_2
KCLA-B01,MonoBsn,37.650756,-118.728671,California,Great Basin,US,GB,GB,GB,IDS,IDS,GB,CA,CA,CA
KCLA-B03,MonoBsn,37.650756,-118.728671,California,Great Basin,US,GB,GB,GB,IDS,IDS,GB,CA,CA,CA
KCLA-B04,MonoBsn,37.650756,-118.728671,California,Great Basin,US,GB,GB,GB,IDS,IDS,GB,CA,CA,CA
KCLA-B16,MonoBsn,37.650756,-118.728671,California,Great Basin,US,GB,GB,GB,IDS,IDS,GB,CA,CA,CA
8M1,IDNLemhi,44.243155,-112.994016,Idaho,Great Basin,US,GB,GB,GB,IDN,IDN,IDN,IDN,IDN,ID
8M7,IDNLemhi,44.243155,-112.993801,Idaho,Great Basin,US,GB,GB,GB,IDN,IDN,IDN,IDN,IDN,ID
ALLIE_ID,IDNINL,43.503162,-111.83267,Idaho,Great Basin,US,GB,GB,GB,IDN,IDN,IDN,IDN,IDN,ID
ALLIE_NV,NVParisCk,40.038041,-114.987338,Nevada,Great Basin,US,GB,GB,GB,IDS,IDS,GB,GB,GB,NV
ALLISON,NVOven,39.671453,-115.171263,Nevada,Great Basin,US,GB,GB,GB,IDS,IDS,GB,GB,GB,NV
CAS2,IDSCas,42.161292,-113.84039,Idaho,Great Basin,US,GB,GB,GB,IDS,IDS,IDS,IDS,IDS,ID
CG128,IDNLemhi,44.700721,-113.287419,Idaho,Great Basin,US,GB,GB,GB,IDN,IDN,IDN,IDN,IDN,ID
DSC13,IDNLemhi,44.720071,-113.512472,Idaho,Great Basin,US,GB,GB,GB,IDN,IDN,IDN,IDN,IDN,ID
JH01,IDNCamas,43.25305,-114.663888,Idaho,Great Basin,US,GB,GB,GB,IDN,IDN,IDN,IDN,IDN,ID
JH06,IDNCamas,43.25588,-114.662854,Idaho,Great Basin,US,GB,GB,GB,IDN,IDN,IDN,IDN,IDN,ID
MID162,IDNLemhi,44.720071,-113.512472,Idaho,Great Basin,US,GB,GB,GB,IDN,IDN,IDN,IDN,IDN,ID
MOR5,IDNCamas,43.261234,-114.804332,Idaho,Great Basin,US,GB,GB,GB,IDN,IDN,IDN,IDN,IDN,ID
MOR9,IDNCamas,43.260268,-114.802663,Idaho,Great Basin,US,GB,GB,GB,IDN,IDN,IDN,IDN,IDN,ID
OW41,IDSOwhyee,42.564107,-116.236695,Idaho,Great Basin,US,GB,GB,GB,IDS,IDS,IDS,IDS,IDS,ID
OW44,IDSOwhyee,42.563196,-116.234089,Idaho,Great Basin,US,GB,GB,GB,IDS,IDS,IDS,IDS,IDS,ID
OW45,IDSOwhyee,42.562015,-116.233756,Idaho,Great Basin,US,GB,GB,GB,IDS,IDS,IDS,IDS,IDS,ID
OW46,IDSOwhyee,42.561003,-116.203585,Idaho,Great Basin,US,GB,GB,GB,IDS,IDS,IDS,IDS,IDS,ID
RC466,IDNLemhi,44.663819,-113.229148,Idaho,Great Basin,US,GB,GB,GB,IDN,IDN,IDN,IDN,IDN,ID
RC467,IDNLemhi,44.661053,-113.223333,Idaho,Great Basin,US,GB,GB,GB,IDN,IDN,IDN,IDN,IDN,ID
RC472,IDNLemhi,44.665069,-113.220357,Idaho,Great Basin,US,GB,GB,GB,IDN,IDN,IDN,IDN,IDN,ID
RC477,IDNLemhi,44.666578,-113.226279,Idaho,Great Basin,US,GB,GB,GB,IDN,IDN,IDN,IDN,IDN,ID
SC478,IDNLemhi,44.701537,-113.337105,Idaho,Great Basin,US,GB,GB,GB,IDN,IDN,IDN,IDN,IDN,ID
SC481,IDNLemhi,44.700034,-113.339512,Idaho,Great Basin,US,GB,GB,GB,IDN,IDN,IDN,IDN,IDN,ID
TC3,IDNWSalm,45.111017,-113.945866,Idaho,Great Basin,US,GB,GB,GB,IDN,IDNW,IDNW,IDNW,IDNW,ID
TC4,IDNWSalm,45.110002,-113.944689,Idaho,Great Basin,US,GB,GB,GB,IDN,IDNW,IDNW,IDNW,IDNW,ID
TC5,IDNWSalm,45.118513,-113.99173,Idaho,Great Basin,US,GB,GB,GB,IDN,IDNW,IDNW,IDNW,IDNW,ID
TC6,IDNWSalm,45.114488,-113.944488,Idaho,Great Basin,US,GB,GB,GB,IDN,IDNW,IDNW,IDNW,IDNW,ID
W1924,IDNINL,43.503162,-111.83267,Idaho,Great Basin,US,GB,GB,GB,IDN,IDN,IDN,IDN,IDN,ID
W1927,IDNINL,43.503162,-111.83267,Idaho,Great Basin,US,GB,GB,GB,IDN,IDN,IDN,IDN,IDN,ID
W1928,IDNINL,43.503162,-111.83267,Idaho,Great Basin,US,GB,GB,GB,IDN,IDN,IDN,IDN,IDN,ID
W1931,IDNINL,43.503162,-111.83267,Idaho,Great Basin,US,GB,GB,GB,IDN,IDN,IDN,IDN,IDN,ID
WS21,IDNLemhi,44.644927,-113.256938,Idaho,Great Basin,US,GB,GB,GB,IDN,IDN,IDN,IDN,IDN,ID
WS26,IDNLemhi,44.61111,-113.251111,Idaho,Great Basin,US,GB,GB,GB,IDN,IDN,IDN,IDN,IDN,ID
WS27,IDNLemhi,44.642222,-113.25222,Idaho,Great Basin,US,GB,GB,GB,IDN,IDN,IDN,IDN,IDN,ID
WT10,IDNLemhi,44.49781,-113.940332,Idaho,Great Basin,US,GB,GB,GB,IDN,IDN,IDN,IDN,IDN,ID
WT5,IDNLemhi,44.41111,-113.941111,Idaho,Great Basin,US,GB,GB,GB,IDN,IDN,IDN,IDN,IDN,ID
WT8,IDNLemhi,44.42222,-113.942222,Idaho,Great Basin,US,GB,GB,GB,IDN,IDN,IDN,IDN,IDN,ID
WT9,IDNLemhi,44.43333,-113.943333,Idaho,Great Basin,US,GB,GB,GB,IDN,IDN,IDN,IDN,IDN,ID
BAD2,Montana,45.36013,-111.966333,Montana,Great Basin,US,GB,GB,GB,IDN,IDN,IDN,IDN,IDN,MT
BAD4,Montana,45.31111,-111.961111,Montana,Great Basin,US,GB,GB,GB,IDN,IDN,IDN,IDN,IDN,MT
BRADLEY,NVButteVly,39.658678,-115.161016,Nevada,Great Basin,US,GB,GB,GB,IDS,IDS,GB,GB,GB,NV
BSC10,Montana,44.829292,-113.0178,Montana,Great Basin,US,GB,GB,GB,IDN,IDN,IDN,IDN,IDN,MT
BSC7,Montana,44.821111,-113.01111,Montana,Great Basin,US,GB,GB,GB,IDN,IDN,IDN,IDN,IDN,MT
BSC8,Montana,44.822222,-113.02222,Montana,Great Basin,US,GB,GB,GB,IDN,IDN,IDN,IDN,IDN,MT
BSC9,Montana,44.823333,-113.03333,Montana,Great Basin,US,GB,GB,GB,IDN,IDN,IDN,IDN,IDN,MT
EC1,Montana,44.997686,-113.109815,Montana,Great Basin,US,GB,GB,GB,IDN,IDN,IDN,IDN,IDN,MT
MH2,Montana,44.677269,-112.110515,Montana,Great Basin,US,GB,GB,GB,IDN,IDN,IDN,IDN,IDN,MT
MH3,Montana,44.671111,-112.111111,Montana,Great Basin,US,GB,GB,GB,IDN,IDN,IDN,IDN,IDN,MT
SAGE1,Montana,45.096475,-112.270101,Montana,Great Basin,US,GB,GB,GB,IDN,IDN,IDN,IDN,IDN,MT
SAGE2,Montana,45.091111,-112.271111,Montana,Great Basin,US,GB,GB,GB,IDN,IDN,IDN,IDN,IDN,MT
SAGE5,Montana,45.092222,-112.272222,Montana,Great Basin,US,GB,GB,GB,IDN,IDN,IDN,IDN,IDN,MT
SAGE9,Montana,45.093333,-112.23333,Montana,Great Basin,US,GB,GB,GB,IDN,IDN,IDN,IDN,IDN,MT
SW3,Montana,45.36013,-111.966333,Montana,Great Basin,US,GB,GB,GB,IDN,IDN,IDN,IDN,IDN,MT
BUDDY,NVButteVly,39.658021,-115.165078,Nevada,Great Basin,US,GB,GB,GB,IDS,IDS,GB,GB,GB,NV
CHOWDER,NVSandMnd,39.854203,-115.146023,Nevada,Great Basin,US,GB,GB,GB,IDS,IDS,GB,GB,GB,NV
DUJOUR,NVButteVly,39.720366,-115.183959,Nevada,Great Basin,US,GB,GB,GB,IDS,IDS,GB,GB,GB,NV
FRICASE,NVButteVly,39.670375,-115.160636,Nevada,Great Basin,US,GB,GB,GB,IDS,IDS,GB,GB,GB,NV
HARRIET,NVParisCk,40.037323,-114.986949,Nevada,Great Basin,US,GB,GB,GB,IDS,IDS,GB,GB,GB,NV
INDIGOA,NVButteVly,39.687161,-115.177891,Nevada,Great Basin,US,GB,GB,GB,IDS,IDS,GB,GB,GB,NV
KJGB-B180,NVJigElk,40.442841,-115.984716,Nevada,Great Basin,US,GB,GB,GB,IDS,IDS,GB,GB,GB,NV
KWGA-B64,NVWGulch,38.030443,-114.376532,Nevada,Great Basin,US,GB,GB,GB,IDS,IDS,GB,GB,GB,NV
LISA,NVButteVly,39.082107,-114.772478,Nevada,Great Basin,US,GB,GB,GB,IDS,IDS,GB,GB,GB,NV
PEDRO,NVButteVly,39.671453,-115.171263,Nevada,Great Basin,US,GB,GB,GB,IDS,IDS,GB,GB,GB,NV
PIERRE,NVOven,39.081538,-114.772842,Nevada,Great Basin,US,GB,GB,GB,IDS,IDS,GB,GB,GB,NV
POPEYE,NVParisCk,40.028875,-114.980893,Nevada,Great Basin,US,GB,GB,GB,IDS,IDS,GB,GB,GB,NV
RAS,NVOven,39.084344,-114.770696,Nevada,Great Basin,US,GB,GB,GB,IDS,IDS,GB,GB,GB,NV
SOUP,NVButteVly,40.02907,-114.981203,Nevada,Great Basin,US,GB,GB,GB,IDS,IDS,GB,GB,GB,NV
FLINTI,Oregon,42.757143,-119.984202,Oregon,Great Basin,US,GB,GB,GB,IDS,IDS,GB,GB,GB,OR
FURAHA,Oregon,42.225468,-119.431275,Oregon,Great Basin,US,GB,GB,GB,IDS,IDS,GB,GB,GB,OR
SBFALE2,Oregon,42.225388,-119.431666,Oregon,Great Basin,US,GB,GB,GB,IDS,IDS,GB,GB,GB,OR
SWISS_MISS,Oregon,42.741692,-120.037225,Oregon,Great Basin,US,GB,GB,GB,IDS,IDS,GB,GB,GB,OR
